"flags","price","side","size","symbol","timestamp","trade_id","type","","","","","","","","","","","",""
"1","77.68","B","100","VCSH","2026-09-11 12:00:00.010446+00:00","","price_level_update","","","","","","","","","","","",""
"1","93.15","B","100","EMB","2026-09-11 12:00:00.007996+00:00","","price_level_update","","","","","","","","","","","",""
"1","74.04","B","100","BIV","2026-09-11 12:00:00.004806+00:00","","price_level_update","","","","","","","","","","","",""
"1","77.67","B","100","VCSH","2026-09-11 12:00:00.010793+00:00","","price_level_update","","","","","","","","","","","",""
"1","93.16","B","100","EMB","2026-09-11 12:00:00.010743+00:00","","price_level_update","","","","","","","","","","","",""
"1","32.25","B","100","SPIB","2026-09-11 12:00:00.011213+00:00","","price_level_update","","","","","","","","","","","",""
"1","32.24","B","100","SPIB","2026-09-11 12:00:00.012329+00:00","","price_level_update","","","","","","","","","","","",""
"1","20.93","S","600","TLTW","2026-09-11 12:00:00.010636+00:00","","price_level_update","","","","","","","","","","","",""
"1","334.49","S","6","GOOGL","2026-09-11 12:00:00.009327+00:00","","price_level_update","","","","","","","","","","","",""
"1","334.49","S","0","GOOGL","2026-09-11 12:00:00.009969+00:00","","price_level_update","","","","","","","","","","","",""
"1","20.83","B","400","TLTW","2026-09-11 12:00:00.011099+00:00","","price_level_update","","","","","","","","","","","",""
"1","36.54","S","300","USHY","2026-09-11 12:00:00.012126+00:00","","price_level_update","","","","","","","","","","","",""
"1","110.15","B","1500","SHV","2026-09-11 12:00:00.012408+00:00","","price_level_update","","","","","","","","","","","",""
"1","4.75","S","2600","TSLG","2026-09-11 12:00:00.031741+00:00","","price_level_update","","","","","","","","","","","",""
"1","4.69","B","2600","TSLG","2026-09-11 12:00:00.032111+00:00","","price_level_update","","","","","","","","","","","",""
"1","34.12","S","100","DUST","2026-09-11 12:00:00.033859+00:00","","price_level_update","","","","","","","","","","","",""
"1","20.83","B","0","TLTW","2026-09-11 12:00:00.013064+00:00","","price_level_update","","","","","","","","","","","",""
"1","44.82","S","200","TMV","2026-09-11 12:00:00.032723+00:00","","price_level_update","","","","","","","","","","","",""
"1","4.77","S","2600","TSLG","2026-09-11 12:00:00.032970+00:00","","price_level_update","","","","","","","","","","","",""
"1","4.73","S","2600","TSLG","2026-09-11 12:00:00.033005+00:00","","price_level_update","","","","","","","","","","","",""
"1","44.6","B","200","TMV","2026-09-11 12:00:00.033012+00:00","","price_level_update","","","","","","","","","","","",""
"1","4.68","B","2600","TSLG","2026-09-11 12:00:00.033193+00:00","","price_level_update","","","","","","","","","","","",""
"1","4.76","S","2600","TSLG","2026-09-11 12:00:00.033356+00:00","","price_level_update","","","","","","","","","","","",""
"1","4.78","S","2600","TSLG","2026-09-11 12:00:00.034206+00:00","","price_level_update","","","","","","","","","","","",""
"1","33.93","B","400","DUST","2026-09-11 12:00:00.037420+00:00","","price_level_update","","","","","","","","","","","",""
"1","81.46","S","100","SHY","2026-09-11 12:00:00.009413+00:00","","price_level_update","","","","","","","","","","","",""
"1","36.34","B","100","USHY","2026-09-11 12:00:00.017235+00:00","","price_level_update","","","","","","","","","","","",""
"1","4.72","B","2600","TSLG","2026-09-11 12:00:00.037727+00:00","","price_level_update","","","","","","","","","","","",""
"1","4.74","S","2600","TSLG","2026-09-11 12:00:00.037835+00:00","","price_level_update","","","","","","","","","","","",""
"1","4.67","B","2600","TSLG","2026-09-11 12:00:00.038010+00:00","","price_level_update","","","","","","","","","","","",""
"1","4.71","B","2600","TSLG","2026-09-11 12:00:00.038241+00:00","","price_level_update","","","","","","","","","","","",""
"1","4.7","B","2600","TSLG","2026-09-11 12:00:00.038558+00:00","","price_level_update","","","","","","","","","","","",""
"1","8.8","B","1400","ERY","2026-09-11 12:00:00.026012+00:00","","price_level_update","","","","","","","","","","","",""
"1","8.83","S","1400","ERY","2026-09-11 12:00:00.026434+00:00","","price_level_update","","","","","","","","","","","",""
"1","77.89","S","100","VCSH","2026-09-11 12:00:00.052497+00:00","","price_level_update","","","","","","","","","","","",""
"1","74.03","B","100","BIV","2026-09-11 12:00:00.009303+00:00","","price_level_update","","","","","","","","","","","",""
"1","7.22","B","100","LABD","2026-09-11 12:00:00.036841+00:00","","price_level_update","","","","","","","","","","","",""
"1","7.27","S","1300","LABD","2026-09-11 12:00:00.037625+00:00","","price_level_update","","","","","","","","","","","",""
"1","9.06","B","9","TSSI","2026-09-11 12:00:00.034208+00:00","","price_level_update","","","","","","","","","","","",""
"1","9.06","B","0","TSSI","2026-09-11 12:00:00.035014+00:00","","price_level_update","","","","","","","","","","","",""
"1","7.28","S","1000","LABD","2026-09-11 12:00:00.044809+00:00","","price_level_update","","","","","","","","","","","",""
"1","8.79","B","1400","ERY","2026-09-11 12:00:00.037286+00:00","","price_level_update","","","","","","","","","","","",""
"1","8.84","S","800","ERY","2026-09-11 12:00:00.037294+00:00","","price_level_update","","","","","","","","","","","",""
"1","8.85","S","1400","ERY","2026-09-11 12:00:00.041014+00:00","","price_level_update","","","","","","","","","","","",""
"1","8.78","B","1400","ERY","2026-09-11 12:00:00.041055+00:00","","price_level_update","","","","","","","","","","","",""
"1","7.21","B","1300","LABD","2026-09-11 12:00:00.045015+00:00","","price_level_update","","","","","","","","","","","",""
"1","136.6","S","100","NVDU","2026-09-11 12:00:00.043830+00:00","","price_level_update","","","","","","","","","","","",""
"1","136.22","B","100","NVDU","2026-09-11 12:00:00.043954+00:00","","price_level_update","","","","","","","","","","","",""
"1","93.79","S","100","EMB","2026-09-11 12:00:00.052521+00:00","","price_level_update","","","","","","","","","","","",""
"1","33.12","S","100","SPIB","2026-09-11 12:00:00.052637+00:00","","price_level_update","","","","","","","","","","","",""
"1","34.12","S","200","DUST","2026-09-11 12:00:00.090769+00:00","","price_level_update","","","","","","","","","","","",""
"1","77.9","S","100","VCSH","2026-09-11 12:00:00.100912+00:00","","price_level_update","","","","","","","","","","","",""
"1","7.2","B","1300","LABD","2026-09-11 12:00:00.056089+00:00","","price_level_update","","","","","","","","","","","",""
"1","7.29","S","1300","LABD","2026-09-11 12:00:00.056144+00:00","","price_level_update","","","","","","","","","","","",""
"1","3.57","B","3800","BTCZ","2026-09-11 12:00:00.115449+00:00","","price_level_update","","","","","","","","","","","",""
"1","3.58","S","3800","BTCZ","2026-09-11 12:00:00.115502+00:00","","price_level_update","","","","","","","","","","","",""
"1","3.59","S","3800","BTCZ","2026-09-11 12:00:00.115724+00:00","","price_level_update","","","","","","","","","","","",""
"1","3.56","B","3800","BTCZ","2026-09-11 12:00:00.115855+00:00","","price_level_update","","","","","","","","","","","",""
"1","8.77","B","1400","ERY","2026-09-11 12:00:00.051966+00:00","","price_level_update","","","","","","","","","","","",""
"1","3.55","B","3800","BTCZ","2026-09-11 12:00:00.116228+00:00","","price_level_update","","","","","","","","","","","",""
"1","8.86","S","1400","ERY","2026-09-11 12:00:00.051989+00:00","","price_level_update","","","","","","","","","","","",""
"1","3.6","S","3800","BTCZ","2026-09-11 12:00:00.116533+00:00","","price_level_update","","","","","","","","","","","",""
"1","36.55","S","200","USHY","2026-09-11 12:00:00.052592+00:00","","price_level_update","","","","","","","","","","","",""
"1","3.61","S","3800","BTCZ","2026-09-11 12:00:00.116708+00:00","","price_level_update","","","","","","","","","","","",""
"1","8.87","S","1400","ERY","2026-09-11 12:00:00.063108+00:00","","price_level_update","","","","","","","","","","","",""
"1","3.54","B","3800","BTCZ","2026-09-11 12:00:00.116905+00:00","","price_level_update","","","","","","","","","","","",""
"1","8.76","B","1400","ERY","2026-09-11 12:00:00.063140+00:00","","price_level_update","","","","","","","","","","","",""
"1","3.62","S","3800","BTCZ","2026-09-11 12:00:00.116999+00:00","","price_level_update","","","","","","","","","","","",""
"1","3.53","B","3800","BTCZ","2026-09-11 12:00:00.117016+00:00","","price_level_update","","","","","","","","","","","",""
"1","3.52","B","3800","BTCZ","2026-09-11 12:00:00.117427+00:00","","price_level_update","","","","","","","","","","","",""
"1","3.63","S","3800","BTCZ","2026-09-11 12:00:00.117529+00:00","","price_level_update","","","","","","","","","","","",""
"1","7.3","S","1300","LABD","2026-09-11 12:00:00.067042+00:00","","price_level_update","","","","","","","","","","","",""
"1","7.19","B","1300","LABD","2026-09-11 12:00:00.067210+00:00","","price_level_update","","","","","","","","","","","",""
"1","34.12","S","400","DUST","2026-09-11 12:00:00.140413+00:00","","price_level_update","","","","","","","","","","","",""
"1","29.29","S","300","TMF","2026-09-11 12:00:00.032686+00:00","","price_level_update","","","","","","","","","","","",""
"1","93.8","S","100","EMB","2026-09-11 12:00:00.101196+00:00","","price_level_update","","","","","","","","","","","",""
"1","33.13","S","100","SPIB","2026-09-11 12:00:00.102447+00:00","","price_level_update","","","","","","","","","","","",""
"1","7025","S","25","GME","2026-09-11 12:00:00.205979+00:00","","price_level_update","","","","","","","","","","","",""
"1","422","S","20","GME","2026-09-11 12:00:00.206196+00:00","","price_level_update","","","","","","","","","","","",""
"1","2752","S","25","GME","2026-09-11 12:00:00.206433+00:00","","price_level_update","","","","","","","","","","","",""
"1","67.64","B","400","EEM","2026-09-11 12:00:00.037106+00:00","","price_level_update","","","","","","","","","","","",""
"1","1078","S","20","GME","2026-09-11 12:00:00.206534+00:00","","price_level_update","","","","","","","","","","","",""
"1","67.8","S","400","EEM","2026-09-11 12:00:00.037424+00:00","","price_level_update","","","","","","","","","","","",""
"1","7.18","B","1300","LABD","2026-09-11 12:00:00.077838+00:00","","price_level_update","","","","","","","","","","","",""
"1","7.31","S","1300","LABD","2026-09-11 12:00:00.078784+00:00","","price_level_update","","","","","","","","","","","",""
"1","125.34","S","200","GDXJ","2026-09-11 12:00:00.036530+00:00","","price_level_update","","","","","","","","","","","",""
"1","8.88","S","1400","ERY","2026-09-11 12:00:00.074083+00:00","","price_level_update","","","","","","","","","","","",""
"1","8.75","B","1400","ERY","2026-09-11 12:00:00.074103+00:00","","price_level_update","","","","","","","","","","","",""
"1","7.17","B","1300","LABD","2026-09-11 12:00:00.088213+00:00","","price_level_update","","","","","","","","","","","",""
"1","7.32","S","1300","LABD","2026-09-11 12:00:00.088257+00:00","","price_level_update","","","","","","","","","","","",""
"1","32.56","B","300","FAZ","2026-09-11 12:00:00.037850+00:00","","price_level_update","","","","","","","","","","","",""
"1","34.12","S","200","DUST","2026-09-11 12:00:00.277652+00:00","","price_level_update","","","","","","","","","","","",""
